3	1	1	2088	0
3	1	2	912	0
3	1	3	2395	0
3	1	4	1343	0
3	1	5	2572	0
3	1	6	1350	0
3	1	7	952	0
3	1	8	1840	0
3	1	9	1932	0
3	1	10	1731	0
3	1	11	2042	0
3	1	12	2988	0
3	1	13	1965	0
3	1	14	1217	0
3	1	15	2145	0
3	1	16	1119	0
3	1	17	1847	0
3	1	18	1899	0
3	1	19	1121	0
3	2	0	2740	0
3	2	1	28561	0
3	2	2	2333	0
3	2	3	890	0
3	2	4	3211	0
3	2	5	1473	0
3	2	6	1825	0
3	2	7	1252	0
3	2	8	1021	0
3	2	9	1551	0
3	2	10	1784	0
3	2	11	1689	0
3	2	12	1759	0
3	2	13	1507	0
3	2	14	1086	0
3	2	15	1047	0
3	2	16	1005	0
3	2	17	1493	0
3	2	18	1028	0
3	2	19	1825	0
3	3	0	974	0
